cat_id,cat_name,cat_slug,cat_posttype,cat_parent,cat_schema,cat_font_icon,cat_color,cat_description,cat_top_description,cat_bottom_description,cat_image,cat_icon
165,"Manual Tools",manual-tools,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
166,"Isolation &amp; Roofing",isolation-roofing,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
167,"Electrical Supplies",electrical-supplies,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
168,"Fireplaces &amp; Heating",fireplaces-heating,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
169,Kitchen,kitchen,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
170,"Bathroom, WC &amp; Sauna",bathroom-wc-sauna,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
171,"Doors &amp; Windows",doors-windows,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
172,"Floor Materials",floor-materials,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
173,"Ceiling materials",ceiling-materials,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
174,Boards,boards,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
175,Planks,planks,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
176,Tiles,tiles,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
177,Bricks,bricks,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
178,"Sinks &amp; Toilet Seats",sinks-toilet-seats,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
179,"Mortar, Cement &amp; Plaster",mortar-cement-plaster,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
180,"Other Building &amp; Refurbishing",other-building-material,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
181,"Other Refurbishing",other-refurbishing,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
183,"Binoculars &amp; Telescopes",binoculars-telescopes,gd_place,CAMERAS,,,,,,,,
184,Camcorder,camcorder,gd_place,CAMERAS,,,,,,,,
185,"Camera Drones",camera-drones,gd_place,CAMERAS,,,,,,,,
186,"Camera Guides &amp; Manuals",camera-guides-manuals,gd_place,CAMERAS,,,,,,,,
187,"Camera Drone &amp; Accessories",camera-drone-accessories,gd_place,CAMERAS,,,,,,,,
188,"Digital Cameras",digital-cameras,gd_place,CAMERAS,,,,,,,,
189,"System Camera",system-camera,gd_place,CAMERAS,,,,,,,,
190,"Film &amp; Video Cameras",film-video-cameras,gd_place,CAMERAS,,,,,,,,
191,"Lenses &amp; Filters",lenses-filters,gd_place,CAMERAS,,,,,,,,
192,"Lighting &amp; Studio",lighting-studio,gd_place,CAMERAS,,,,,,,,
193,"Video Production &amp; Editing",video-production-editing,gd_place,CAMERAS,,,,,,,,
194,"Vintage Cameras &amp; Stuff",vintage-cameras-stuff,gd_place,CAMERAS,,,,,,,,
195,"Camera Accessories",camera-accessories,gd_place,CAMERAS,,,,,,,,
196,"Other Cameras",other-cameras,gd_place,CAMERAS,,,,,,,,
199,"Family Minivans",family-minivans,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
200,"Cars Sedan",cars-sedan,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
201,"Cars Coupe",cars-coupe,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
202,"Cars Hatchback",cars-hatchback,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
203,"Cars Micro",cars-micro,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
204,"Sports Cars",sports-cars,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
205,"Pickup Cars",pickup-cars,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
206,Campers,campers,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
